Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000244242.2	2.39	2.22	2.62	5.05	4.63	4.91	IFITM10	chr11	protein_coding	interferon induced transmembrane protein 10
ENSG00000230092.7	0.06	0.17	0.08	0.21	0.15	0.15	RP11-206L10.8	chr1	transcribed_unprocessed_pseudogene	--
ENSG00000255893.1	0.38	0.26	0.4	0.18	0.14	0.05	RP11-685N10.1	chr11	lncRNA	--
ENSG00000143147.15	0.7	0.68	0.66	0.75	0.59	0.75	GPR161	chr1	protein_coding	G protein-coupled receptor 161
ENSG00000283041.1	6.55	7.24	6.9	4.3	5.51	4.44	RP11-371A22.1	chr7	processed_pseudogene	--
ENSG00000256407.2	0.13	0.12	0.19	0.09	0.15	0.15	RP11-446E24.4	chr1	protein_coding	--
ENSG00000273181.1	0.09	0.05	0.0	0.3	0.09	0.13	RP11-778D9.13	chr3	lncRNA	--
ENSG00000283393.1	0.06	0.0	0.0	0.11	0.0	0.0	RP11-472I20.5	chr11	processed_pseudogene	--
ENSG00000254294.1	0.0	0.0	0.0	0.0	0.09	0.0	IMPDH1P6	chr8	processed_pseudogene	inosine monophosphate dehydrogenase 1 pseudogene 6
ENSG00000228981.3	0.03	0.14	0.03	0.03	0.0	0.0	RP11-364L4.1	chr4	processed_pseudogene	--
ENSG00000174951.12	0.08	0.08	0.05	0.1	0.1	0.11	FUT1	chr19	protein_coding	fucosyltransferase 1 (H blood group)
ENSG00000233875.1	0.0	0.09	0.0	0.0	0.0	0.0	RP11-61L14.6	chr1	lncRNA	--
ENSG00000237265.6	0.0	0.0	0.0	0.01	0.0	0.01	RP11-402P6.9	chrX	transcribed_unprocessed_pseudogene	--
ENSG00000287129.1	0.0	0.0	0.0	0.04	0.15	0.11	RP11-335G13.1	chr2	lncRNA	--
ENSG00000150556.17	0.0	0.0	0.0	0.0	0.02	0.0	LYPD6B	chr2	protein_coding	LY6/PLAUR domain containing 6B
ENSG00000103510.20	5.13	4.82	4.86	5.62	5.17	5.14	KAT8	chr16	protein_coding	lysine acetyltransferase 8
ENSG00000127452.9	2.05	1.78	2.1	2.39	2.56	2.4	FBXL12	chr19	protein_coding	F-box and leucine rich repeat protein 12
ENSG00000157985.19	2.1	1.99	1.94	2.17	2.26	2.29	AGAP1	chr2	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
ENSG00000267446.1	0.21	0.0	0.36	0.75	0.07	0.14	CTB-39G8.2	chr17	lncRNA	--
ENSG00000273149.1	139.45	125.74	121.78	114.14	147.51	153.01	RP11-290D2.6	chr13	lncRNA	--
ENSG00000106617.15	2.94	3.19	3.21	2.11	1.96	2.15	PRKAG2	chr7	protein_coding	protein kinase AMP-activated non-catalytic subunit gamma 2
ENSG00000279555.1	0.0	0.0	0.0	0.03	0.0	0.06	RP11-426D19.1	chr17	TEC	--
ENSG00000248528.1	0.0	0.0	0.0	0.0	0.04	0.19	LINC02058	chr5	lncRNA	long intergenic non-protein coding RNA 2058
ENSG00000165733.8	5.86	6.66	6.39	6.58	6.49	6.66	BMS1	chr10	protein_coding	BMS1 ribosome biogenesis factor
ENSG00000072609.18	0.96	0.91	0.96	1.13	1.03	1.07	CHFR	chr12	protein_coding	checkpoint with forkhead and ring finger domains
ENSG00000213862.4	0.14	0.15	0.06	0.13	0.14	0.1	CTD-2270N23.1	chr15	processed_pseudogene	--
ENSG00000232821.1	0.0	0.0	0.0	0.0	0.02	0.0	AC003986.6	chr7	lncRNA	--
ENSG00000258122.1	0.25	0.14	0.16	0.36	0.55	0.54	RP11-61A14.1	chr16	lncRNA	--
ENSG00000279017.1	0.0	0.0	0.0	0.0	0.03	0.0	RP11-697K23.3	chr3	TEC	--
ENSG00000066697.15	13.24	14.22	13.98	6.95	6.37	6.67	MSANTD3	chr9	protein_coding	Myb/SANT DNA binding domain containing 3
ENSG00000088038.19	8.73	9.41	9.54	8.24	7.94	8.13	CNOT3	chr19	protein_coding	CCR4-NOT transcription complex subunit 3
ENSG00000277406.2	0.07	0.02	0.03	0.05	0.07	0.02	SEC22B4P	chr1	transcribed_unprocessed_pseudogene	SEC22 homolog B4, pseudogene
ENSG00000285077.2	0.51	0.54	0.73	1.31	1.51	1.39	ARHGAP11B	chr15	protein_coding	Rho GTPase activating protein 11B
ENSG00000154122.14	1.63	1.55	1.63	2.56	2.45	2.54	ANKH	chr5	protein_coding	ANKH inorganic pyrophosphate transport regulator
ENSG00000286529.1	0.04	0.02	0.06	0.09	0.05	0.09	RP11-669I1.2	chr18	lncRNA	--
ENSG00000163565.19	0.7	0.63	0.55	0.69	0.54	0.65	IFI16	chr1	protein_coding	interferon gamma inducible protein 16
ENSG00000197747.9	1079.75	1060.65	1053.77	873.22	819.34	778.2	S100A10	chr1	protein_coding	S100 calcium binding protein A10
ENSG00000135828.11	0.81	0.86	0.83	1.07	1.12	1.09	RNASEL	chr1	protein_coding	ribonuclease L
ENSG00000203395.2	0.0	0.0	0.02	0.0	0.0	0.0	AC015969.3	chr2	lncRNA	--
ENSG00000130818.12	0.08	0.04	0.06	0.1	0.13	0.13	ZNF426	chr19	protein_coding	zinc finger protein 426
ENSG00000163710.9	7.24	7.2	7.47	11.87	11.82	12.05	PCOLCE2	chr3	protein_coding	procollagen C-endopeptidase enhancer 2
ENSG00000258285.1	0.08	0.0	0.04	0.07	0.0	0.12	TESC-AS1	chr12	lncRNA	TESC antisense RNA 1 (head to head)
ENSG00000187689.10	0.0	0.0	0.0	0.03	0.0	0.0	AMTN	chr4	protein_coding	amelotin
ENSG00000243926.2	0.74	0.94	0.74	1.77	1.5	1.66	TIPARP-AS1	chr3	lncRNA	TIPARP antisense RNA 1
ENSG00000229689.3	0.0	0.0	0.0	0.04	0.0	0.02	AC009237.8	chr2	transcribed_unprocessed_pseudogene	--
ENSG00000119411.11	0.07	0.09	0.1	0.08	0.08	0.07	BSPRY	chr9	protein_coding	B-box and SPRY domain containing
ENSG00000183431.12	13.74	14.59	14.41	12.81	12.39	13.15	SF3A3	chr1	protein_coding	splicing factor 3a subunit 3
ENSG00000232526.1	0.0	0.0	0.0	0.03	0.03	0.0	VDAC1P13	chr2	processed_pseudogene	voltage dependent anion channel 1 pseudogene 13
ENSG00000140470.15	0.01	0.02	0.01	0.01	0.01	0.01	ADAMTS17	chr15	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 17
ENSG00000100330.16	1.44	1.59	1.68	2.2	1.8	2.15	MTMR3	chr22	protein_coding	myotubularin related protein 3
ENSG00000100209.11	7.64	8.62	8.0	10.5	9.67	11.04	HSCB	chr22	protein_coding	HscB mitochondrial iron-sulfur cluster cochaperone
ENSG00000075415.15	79.07	79.39	78.09	61.35	58.02	56.73	SLC25A3	chr12	protein_coding	solute carrier family 25 member 3
ENSG00000131737.7	0.05	0.07	0.04	0.03	0.0	0.0	KRT34	chr17	protein_coding	keratin 34
ENSG00000200156.1	0.0	0.0	0.0	0.0	0.0	0.9	RNU5B-1	chr15	snRNA	RNA, U5B small nuclear 1
ENSG00000164253.14	4.43	4.47	4.35	5.01	5.43	5.39	WDR41	chr5	protein_coding	WD repeat domain 41
ENSG00000270002.1	0.16	0.03	0.0	0.01	0.03	0.02	RP11-93H12.4	chr10	lncRNA	--
ENSG00000223875.2	0.18	0.02	0.19	0.14	0.11	0.0	NBEAP3	chr22	unprocessed_pseudogene	neurobeachin pseudogene 3
ENSG00000152133.16	2.8	2.93	2.49	2.69	3.01	3.57	GPATCH11	chr2	protein_coding	G-patch domain containing 11
ENSG00000074696.13	22.68	23.19	23.05	26.15	26.26	26.38	HACD3	chr15	protein_coding	3-hydroxyacyl-CoA dehydratase 3
ENSG00000170374.6	0.0	0.01	0.0	0.01	0.05	0.0	SP7	chr12	protein_coding	Sp7 transcription factor
ENSG00000118495.20	0.63	0.7	0.82	0.82	0.81	0.82	PLAGL1	chr6	protein_coding	PLAG1 like zinc finger 1
ENSG00000136159.4	18.88	18.72	20.4	18.47	17.07	17.85	NUDT15	chr13	protein_coding	nudix hydrolase 15
ENSG00000125434.11	2.08	2.23	2.01	2.24	2.33	2.29	SLC25A35	chr17	protein_coding	solute carrier family 25 member 35
ENSG00000168081.9	0.0	0.0	0.0	0.0	0.01	0.0	PNOC	chr8	protein_coding	prepronociceptin
ENSG00000273172.1	0.0	0.0	0.0	0.04	0.0	0.0	LINC02091	chr17	lncRNA	long intergenic non-protein coding RNA 2091
ENSG00000198805.12	31.02	30.58	28.29	19.13	18.67	17.94	PNP	chr14	protein_coding	purine nucleoside phosphorylase
ENSG00000258325.2	0.14	0.0	0.15	0.03	0.07	0.14	ITFG2-AS1	chr12	lncRNA	ITFG2 antisense RNA 1
ENSG00000103091.15	2.22	2.34	2.45	3.28	3.19	3.31	WDR59	chr16	protein_coding	WD repeat domain 59
ENSG00000226330.1	0.06	0.37	0.1	0.32	0.06	0.27	RP11-739N20.2	chr1	lncRNA	--
ENSG00000277386.1	0.0	0.0	0.0	0.0	0.05	0.0	RP11-141M1.4	chr13	lncRNA	--
ENSG00000287647.1	0.09	0.15	0.14	0.15	0.09	0.19	RP11-40C18.2	chr1	lncRNA	--
ENSG00000255173.1	1.25	0.69	1.47	1.2	1.38	1.05	AP003068.12	chr11	lncRNA	--
ENSG00000183734.5	0.07	0.0	0.02	0.05	0.07	0.0	ASCL2	chr11	protein_coding	achaete-scute family bHLH transcription factor 2
ENSG00000242516.2	0.15	0.18	0.21	0.24	0.23	0.18	LINC00960	chr3	lncRNA	long intergenic non-protein coding RNA 960
ENSG00000285476.1	0.07	0.04	0.03	0.08	0.08	0.11	RP11-826N14.7	chr5	protein_coding	--
ENSG00000261272.1	0.0	0.01	0.0	0.0	0.0	0.0	MUC22	chr6	protein_coding	mucin 22
ENSG00000196209.13	0.0	0.01	0.0	0.0	0.0	0.0	SIRPB2	chr20	protein_coding	signal regulatory protein beta 2
ENSG00000215217.7	0.05	0.06	0.09	0.01	0.01	0.01	C5orf49	chr5	protein_coding	chromosome 5 open reading frame 49
ENSG00000143190.23	0.52	0.55	0.6	1.02	0.9	0.98	POU2F1	chr1	protein_coding	POU class 2 homeobox 1
ENSG00000182759.4	0.18	0.09	0.06	0.07	0.07	0.01	MAFA	chr8	protein_coding	MAF bZIP transcription factor A
ENSG00000237520.1	0.13	0.14	0.06	0.19	0.06	0.06	RP11-443B7.2	chr1	lncRNA	--
ENSG00000273018.7	0.03	0.03	0.03	0.12	0.15	0.11	FAM106A	chr17	lncRNA	family with sequence similarity 106 member A
ENSG00000264016.3	0.0	0.0	0.0	0.03	0.0	0.0	CTC-297N7.9	chr17	lncRNA	--
ENSG00000279123.1	0.11	0.0	0.0	0.0	0.0	0.0	RP11-424M24.3	chr16	TEC	--
ENSG00000044446.12	1.74	1.68	2.05	2.54	2.15	2.06	PHKA2	chrX	protein_coding	phosphorylase kinase regulatory subunit alpha 2
ENSG00000256028.2	27.35	26.07	27.09	27.73	27.67	26.19	RP11-197N18.2	chr12	lncRNA	--
ENSG00000272916.5	1.89	2.03	1.73	1.9	1.95	1.84	RP11-574K11.31	chr10	protein_coding	--
ENSG00000168615.13	8.75	9.78	8.96	13.31	14.37	15.68	ADAM9	chr8	protein_coding	ADAM metallopeptidase domain 9
ENSG00000152495.11	0.0	0.01	0.01	0.01	0.01	0.0	CAMK4	chr5	protein_coding	calcium/calmodulin dependent protein kinase IV
ENSG00000263843.1	1.23	1.18	0.88	1.0	0.92	1.09	MIF4GD-DT	chr17	lncRNA	MIF4GD divergent transcript
ENSG00000135362.14	0.65	0.76	0.62	0.41	0.36	0.36	PRR5L	chr11	protein_coding	proline rich 5 like
ENSG00000287767.1	0.0	0.02	0.0	0.0	0.0	0.0	RP11-486N10.1	chrX	lncRNA	--
ENSG00000226363.3	0.0	0.0	0.0	0.02	0.0	0.0	HAGLROS	chr2	lncRNA	HAGLR opposite strand lncRNA
ENSG00000009844.16	4.2	4.24	4.33	3.44	3.49	3.82	VTA1	chr6	protein_coding	vesicle trafficking 1
ENSG00000103490.14	1.69	1.78	2.1	1.24	0.74	0.87	PYCARD	chr16	protein_coding	PYD and CARD domain containing
ENSG00000101842.14	0.07	0.08	0.08	0.06	0.04	0.03	VSIG1	chrX	protein_coding	V-set and immunoglobulin domain containing 1
ENSG00000279259.1	0.06	0.16	0.12	0.39	0.36	0.21	RP11-334C17.3	chr17	TEC	--
ENSG00000230310.1	0.1	0.0	0.04	0.0	0.0	0.0	CTD-2192J16.11	chr19	lncRNA	--
ENSG00000134371.14	2.63	2.44	2.39	1.82	1.65	1.65	CDC73	chr1	protein_coding	cell division cycle 73
ENSG00000166394.15	0.24	0.26	0.31	0.17	0.18	0.18	CYB5R2	chr11	protein_coding	cytochrome b5 reductase 2
ENSG00000259475.1	0.0	0.05	0.0	0.0	0.05	0.04	RP11-654A16.3	chr15	lncRNA	--
ENSG00000095380.11	8.24	7.41	8.34	5.71	5.57	5.6	NANS	chr9	protein_coding	N-acetylneuraminate synthase
ENSG00000204498.11	4.62	3.45	4.61	6.44	5.39	5.48	NFKBIL1	chr6	protein_coding	NFKB inhibitor like 1
ENSG00000162825.16	0.34	0.37	0.38	0.6	0.56	0.56	NBPF20	chr1	protein_coding	NBPF member 20
ENSG00000241886.1	0.0	0.0	0.0	0.0	0.05	0.0	RP11-242C19.2	chrX	lncRNA	--
ENSG00000284060.1	0.23	0.19	0.27	0.14	0.22	0.22	AC002472.8	chr22	transcribed_unprocessed_pseudogene	--
ENSG00000235209.1	0.0	0.13	0.0	0.04	0.0	0.0	CTA-150C2.13	chr22	lncRNA	--
ENSG00000186493.14	1.19	1.14	1.17	1.34	1.21	1.14	C5orf38	chr5	lncRNA	chromosome 5 open reading frame 38
ENSG00000227678.8	0.0	0.02	0.01	0.0	0.02	0.01	RP11-73O6.3	chr6	lncRNA	--
ENSG00000249209.2	67.83	68.42	67.56	58.16	51.79	52.42	AP000304.12	chr21	protein_coding	--
ENSG00000274808.6	0.01	0.03	0.01	0.04	0.04	0.02	TBC1D3B	chr17	protein_coding	TBC1 domain family member 3B
ENSG00000284620.2	0.01	0.01	0.05	0.0	0.07	0.0	AF228730.14	chr8	transcribed_unprocessed_pseudogene	--
ENSG00000202285.1	0.0	0.28	0.0	0.0	0.0	0.0	RNU6-117P	chr6	snRNA	RNA, U6 small nuclear 117, pseudogene
ENSG00000132952.12	1.38	1.59	1.59	2.2	2.22	2.31	USPL1	chr13	protein_coding	ubiquitin specific peptidase like 1
ENSG00000125868.16	220.24	216.16	222.77	214.29	208.77	204.6	DSTN	chr20	protein_coding	destrin, actin depolymerizing factor
ENSG00000198691.13	0.02	0.03	0.01	0.12	0.05	0.07	ABCA4	chr1	protein_coding	ATP binding cassette subfamily A member 4
ENSG00000088305.18	2.24	2.69	2.54	4.29	4.42	4.44	DNMT3B	chr20	protein_coding	DNA methyltransferase 3 beta
ENSG00000124767.7	48.65	55.25	54.85	42.54	41.32	42.21	GLO1	chr6	protein_coding	glyoxalase I
ENSG00000227879.2	0.16	0.14	0.04	0.04	0.04	0.04	PSPC1P1	chr13	unprocessed_pseudogene	paraspeckle component 1 pseudogene 1
ENSG00000233369.7	2.88	2.74	3.1	4.08	3.93	4.58	GTF2IP4	chr7	transcribed_processed_pseudogene	general transcription factor IIi pseudogene 4
ENSG00000151967.18	0.04	0.02	0.0	0.06	0.05	0.05	SCHIP1	chr3	protein_coding	schwannomin interacting protein 1
ENSG00000173349.6	3.27	3.27	2.96	5.54	5.77	5.89	SFT2D3	chr2	protein_coding	SFT2 domain containing 3
ENSG00000229273.1	2.32	2.18	2.35	1.89	0.99	1.54	RP11-104G3.2	chr9	processed_pseudogene	--
ENSG00000256167.1	0.0	0.0	0.01	0.02	0.03	0.0	ATF4P4	chr11	transcribed_processed_pseudogene	activating transcription factor 4 pseudogene 4
ENSG00000139908.15	0.01	0.0	0.02	0.04	0.01	0.0	TSSK4	chr14	protein_coding	testis specific serine kinase 4
ENSG00000172922.11	7.91	8.09	7.51	9.07	9.02	8.91	RNASEH2C	chr11	protein_coding	ribonuclease H2 subunit C
ENSG00000170178.7	0.0	0.01	0.0	0.01	0.01	0.0	HOXD12	chr2	protein_coding	homeobox D12
ENSG00000042286.15	18.25	16.73	17.58	11.03	9.97	10.22	AIFM2	chr10	protein_coding	apoptosis inducing factor mitochondria associated 2
ENSG00000091513.16	0.05	0.02	0.04	0.13	0.1	0.07	TF	chr3	protein_coding	transferrin
ENSG00000179195.16	4.62	4.83	5.27	14.3	13.99	14.15	ZNF664	chr12	protein_coding	zinc finger protein 664
ENSG00000123700.5	0.19	0.23	0.26	1.05	1.21	1.1	KCNJ2	chr17	protein_coding	potassium inwardly rectifying channel subfamily J member 2
ENSG00000233593.10	0.11	0.1	0.14	0.14	0.13	0.12	LINC02609	chr1	lncRNA	long intergenic non-protein coding RNA 2609
ENSG00000236935.1	0.0	0.09	0.0	0.0	0.12	0.04	AP003774.1	chr11	lncRNA	--
ENSG00000230251.1	0.16	0.22	0.11	0.06	0.16	0.0	PHBP4	chr2	processed_pseudogene	prohibitin pseudogene 4
ENSG00000120088.15	0.01	0.0	0.0	0.0	0.0	0.0	CRHR1	chr17	protein_coding	corticotropin releasing hormone receptor 1
ENSG00000267028.1	0.0	0.0	0.0	0.0	0.0	0.13	TCF4-AS1	chr18	lncRNA	TCF4 antisense RNA 1
ENSG00000157870.17	4.85	4.6	4.88	2.62	1.7	1.88	PRXL2B	chr1	protein_coding	peroxiredoxin like 2B
ENSG00000212125.2	0.03	0.1	0.08	0.17	0.46	0.25	TAS2R15P	chr12	unprocessed_pseudogene	taste 2 receptor member 15 pseudogene
ENSG00000106178.7	0.11	0.08	0.06	0.11	0.11	0.23	CCL24	chr7	protein_coding	C-C motif chemokine ligand 24
ENSG00000239605.11	0.0	0.0	0.01	0.01	0.0	0.01	STPG4	chr2	protein_coding	sperm-tail PG-rich repeat containing 4
ENSG00000253715.1	0.0	0.1	0.0	0.0	0.0	0.0	RP11-706C16.8	chr8	lncRNA	--
ENSG00000237892.1	0.0	0.09	0.0	0.0	0.0	0.08	KLF7-IT1	chr2	lncRNA	KLF7 intronic transcript 1
ENSG00000166323.13	0.01	0.01	0.05	0.06	0.05	0.09	C11orf65	chr11	protein_coding	chromosome 11 open reading frame 65
ENSG00000273487.1	0.0	0.05	0.0	0.0	0.04	0.06	RP4-621B10.8	chr1	lncRNA	--
ENSG00000196418.13	0.52	0.51	0.41	0.63	0.63	0.63	ZNF124	chr1	protein_coding	zinc finger protein 124
ENSG00000236772.1	0.0	0.03	0.05	0.05	0.27	0.08	RP5-1184F4.5	chr20	lncRNA	--
ENSG00000255375.3	0.05	0.05	0.02	0.07	0.05	0.02	RP1-65P5.5	chr11	lncRNA	--
ENSG00000128617.3	0.15	0.05	0.13	0.12	0.31	0.14	OPN1SW	chr7	protein_coding	opsin 1, short wave sensitive
ENSG00000253616.5	0.77	1.03	1.14	0.95	1.06	1.1	RP11-875O11.3	chr8	lncRNA	--
ENSG00000170144.21	43.85	45.02	45.07	41.5	40.82	39.95	HNRNPA3	chr2	protein_coding	heterogeneous nuclear ribonucleoprotein A3
ENSG00000267952.1	9.32	7.62	7.72	14.18	13.07	14.12	CTD-2207O23.12	chr19	protein_coding	--
ENSG00000256436.1	0.0	0.0	0.02	0.03	0.08	0.15	TAS2R31	chr12	protein_coding	taste 2 receptor member 31
ENSG00000262001.1	0.68	0.84	0.92	2.75	2.76	2.62	DLGAP1-AS2	chr18	lncRNA	DLGAP1 antisense RNA 2
ENSG00000287569.1	0.34	0.23	0.37	0.36	0.44	0.34	RP4-760C5.1	chr20	lncRNA	--
ENSG00000091583.11	11.53	12.22	10.74	33.73	31.68	32.16	APOH	chr17	protein_coding	apolipoprotein H
ENSG00000257545.5	0.02	0.07	0.06	0.01	0.07	0.05	RP11-144F15.1	chr12	lncRNA	--
ENSG00000133488.15	1.35	1.49	1.43	2.28	1.96	2.26	SEC14L4	chr22	protein_coding	SEC14 like lipid binding 4
ENSG00000017483.15	0.01	0.0	0.02	0.05	0.02	0.01	SLC38A5	chrX	protein_coding	solute carrier family 38 member 5
ENSG00000188379.7	0.0	0.0	0.0	0.0	0.02	0.0	IFNA2	chr9	protein_coding	interferon alpha 2
ENSG00000281538.1	0.0	0.0	0.0	0.12	0.13	0.21	RP4-669P10.20	chr22	lncRNA	--
ENSG00000275265.1	0.0	0.0	0.05	0.0	0.0	0.0	RP11-15J22.8	chr12	lncRNA	--
ENSG00000175189.4	0.0	0.0	0.01	0.05	0.06	0.02	INHBC	chr12	protein_coding	inhibin subunit beta C
ENSG00000160124.9	11.02	10.84	11.61	10.57	8.68	9.57	MIX23	chr3	protein_coding	mitochondrial matrix import factor 23
ENSG00000159228.13	66.66	65.64	67.98	60.55	58.81	58.58	CBR1	chr21	protein_coding	carbonyl reductase 1
ENSG00000108405.4	0.01	0.0	0.0	0.0	0.0	0.01	P2RX1	chr17	protein_coding	purinergic receptor P2X 1
ENSG00000184206.12	0.0	0.0	0.0	0.03	0.02	0.02	GOLGA6L4	chr15	protein_coding	golgin A6 family like 4
ENSG00000119596.18	2.44	2.49	2.51	2.7	2.57	2.86	YLPM1	chr14	protein_coding	YLP motif containing 1
ENSG00000287656.1	0.57	0.55	0.4	0.41	0.65	0.46	RP11-72O9.5	chr6	lncRNA	--
ENSG00000213246.7	49.99	47.85	48.75	44.9	41.7	39.56	SUPT4H1	chr17	protein_coding	SPT4 homolog, DSIF elongation factor subunit
ENSG00000249961.10	0.0	0.0	0.01	0.05	0.05	0.05	TERB1	chr16	protein_coding	telomere repeat binding bouquet formation protein 1
ENSG00000104856.14	5.93	7.44	7.03	4.82	5.36	5.21	RELB	chr19	protein_coding	RELB proto-oncogene, NF-kB subunit
ENSG00000215866.8	0.0	0.01	0.0	0.0	0.01	0.02	LINC01356	chr1	lncRNA	long intergenic non-protein coding RNA 1356
ENSG00000234694.1	0.91	0.73	0.74	1.47	0.77	1.31	RP1-92O14.3	chr1	lncRNA	--
ENSG00000261687.1	0.05	0.17	0.22	0.2	0.45	0.3	RP11-473C18.3	chr15	lncRNA	--
ENSG00000106049.9	24.29	23.1	22.56	44.5	42.99	43.64	HIBADH	chr7	protein_coding	3-hydroxyisobutyrate dehydrogenase
ENSG00000268983.1	6.43	5.66	3.74	4.32	4.27	3.45	AC005253.4	chr19	lncRNA	--
ENSG00000073060.17	12.83	12.85	13.12	6.38	5.21	5.35	SCARB1	chr12	protein_coding	scavenger receptor class B member 1
ENSG00000260907.1	0.03	0.0	0.08	1.38	0.92	0.84	AC008088.4	chr17	lncRNA	--
ENSG00000215187.12	0.14	0.18	0.05	0.27	0.29	0.42	FAM166B	chr9	protein_coding	family with sequence similarity 166 member B
ENSG00000161999.13	33.88	30.98	32.33	34.02	30.26	31.16	JMJD8	chr16	protein_coding	jumonji domain containing 8
ENSG00000256967.1	0.0	0.13	0.04	0.02	0.05	0.07	RP11-273B20.1	chr12	lncRNA	--
ENSG00000273394.1	0.24	0.16	0.17	0.37	0.28	0.32	RP11-255E6.6	chr3	lncRNA	--
ENSG00000138315.13	0.01	0.01	0.03	0.12	0.07	0.12	OIT3	chr10	protein_coding	oncoprotein induced transcript 3
ENSG00000260992.1	0.68	0.26	0.32	1.14	0.8	0.97	DOCK9-DT	chr13	lncRNA	DOCK9 divergent transcript
ENSG00000128000.17	0.6	0.61	0.67	1.1	1.16	1.2	ZNF780B	chr19	protein_coding	zinc finger protein 780B
ENSG00000236200.6	0.39	0.32	0.29	0.35	0.36	0.24	KDM4A-AS1	chr1	lncRNA	KDM4A antisense RNA 1
ENSG00000272128.1	0.0	0.07	0.0	0.0	0.06	0.28	KB-1836B5.4	chr8	lncRNA	--
ENSG00000287261.1	0.1	0.06	0.15	0.12	0.15	0.12	RP11-439D8.4	chr10	lncRNA	--
ENSG00000288022.1	0.0	0.0	0.02	0.0	0.0	0.0	CTD-2015F14.2	chr3	lncRNA	--
ENSG00000159352.16	47.9	46.73	49.12	45.41	45.3	43.18	PSMD4	chr1	protein_coding	proteasome 26S subunit ubiquitin receptor, non-ATPase 4
ENSG00000134153.10	66.62	68.59	71.31	77.83	77.78	68.81	EMC7	chr15	protein_coding	ER membrane protein complex subunit 7
ENSG00000122882.11	7.94	9.0	8.44	8.66	7.56	8.24	ECD	chr10	protein_coding	ecdysoneless cell cycle regulator
ENSG00000124562.10	84.21	80.4	82.17	63.53	62.09	56.86	SNRPC	chr6	protein_coding	small nuclear ribonucleoprotein polypeptide C
ENSG00000287539.1	0.49	0.17	0.37	2.38	2.24	2.46	RP11-323N12.6	chr17	lncRNA	--
