Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000215644.10	3	0	0	0	0	0	GCGR	chr17	protein_coding	glucagon receptor
ENSG00000232139.6	0	2	4	1	0	0	LINC00867	chr10	lncRNA	long intergenic non-protein coding RNA 867
ENSG00000185303.17	0	0	2	0	0	0	SFTPA2	chr10	protein_coding	surfactant protein A2
ENSG00000132016.11	15	5	8	22	34	18	BRME1	chr19	protein_coding	break repair meiotic recombinase recruitment factor 1
ENSG00000276048.1	0	0	0	0	0	1	ENSG10010135677.1	chr2	misc_RNA	--
ENSG00000286945.1	0	0	1	1	2	0	RP11-399F4.3	chr9	lncRNA	--
ENSG00000268403.2	73	54	52	92	77	95	CTD-2371O3.3	chr11	lncRNA	--
ENSG00000104804.8	0	0	0	2	3	4	TULP2	chr19	protein_coding	TUB like protein 2
ENSG00000250247.1	0	1	0	0	0	0	SEPHS2P1	chr5	processed_pseudogene	selenophosphate synthetase 2 pseudogene 1
ENSG00000109911.19	392	358	442	394	378	357	ELP4	chr11	protein_coding	elongator acetyltransferase complex subunit 4
ENSG00000247473.2	8	2	4	6	7	9	CARS1-AS1	chr11	lncRNA	CARS1 antisense RNA 1
ENSG00000100603.14	1960	1864	2428	1702	1622	1870	SNW1	chr14	protein_coding	SNW domain containing 1
ENSG00000254907.1	3	6	3	5	6	9	RP11-484D2.2	chr11	lncRNA	--
ENSG00000170633.16	1243	1056	1349	1212	1169	1316	RNF34	chr12	protein_coding	ring finger protein 34
ENSG00000104722.14	9	6	8	9	13	8	NEFM	chr8	protein_coding	neurofilament medium chain
ENSG00000183632.14	4	4	2	6	7	11	TP53TG3	chr16	protein_coding	TP53 target 3
ENSG00000124939.6	5	4	2	5	3	6	SCGB2A1	chr11	protein_coding	secretoglobin family 2A member 1
ENSG00000099866.16	8	3	7	27	16	32	MADCAM1	chr19	protein_coding	mucosal vascular addressin cell adhesion molecule 1
ENSG00000285338.1	102	102	129	258	261	281	RP11-732A19.10	chr11	lncRNA	--
ENSG00000105559.12	23	24	36	23	17	31	PLEKHA4	chr19	protein_coding	pleckstrin homology domain containing A4
ENSG00000171174.15	279	256	348	321	278	298	RBKS	chr2	protein_coding	ribokinase
ENSG00000246548.3	0	0	0	8	5	4	LINC02288	chr14	lncRNA	long intergenic non-protein coding RNA 2288
ENSG00000268729.1	5	2	4	2	2	3	CTD-2105E13.14	chr19	lncRNA	--
ENSG00000225062.1	0	2	9	9	17	7	CATIP-AS1	chr2	lncRNA	CATIP antisense RNA 1
ENSG00000104522.16	2735	2353	3000	2761	2811	2457	GFUS	chr8	protein_coding	GDP-L-fucose synthase
ENSG00000241945.8	7	13	11	1	2	2	PWP2	chr21	protein_coding	PWP2 small subunit processome component
ENSG00000115607.9	0	0	0	3	1	2	IL18RAP	chr2	protein_coding	interleukin 18 receptor accessory protein
ENSG00000174165.8	865	765	1036	998	759	778	ZDHHC24	chr11	protein_coding	zinc finger DHHC-type containing 24
ENSG00000227370.1	1	3	1	1	2	0	RP4-669P10.19	chr22	processed_pseudogene	--
ENSG00000164385.9	3	2	2	4	2	6	LINC01600	chr6	lncRNA	long intergenic non-protein coding RNA 1600
ENSG00000229188.2	0	0	0	0	0	1	RP4-553F4.2	chr20	lncRNA	--
ENSG00000198826.11	2335	2184	2914	1642	1635	1795	ARHGAP11A	chr15	protein_coding	Rho GTPase activating protein 11A
ENSG00000137714.3	813	697	1036	1106	999	1035	FDX1	chr11	protein_coding	ferredoxin 1
ENSG00000206199.11	59	49	54	53	55	65	ANKUB1	chr3	protein_coding	ankyrin repeat and ubiquitin domain containing 1
ENSG00000283239.1	956	848	1130	1216	1246	1309	KBTBD11-OT1	chr8	protein_coding	KBTBD11 overlapping transcript 1
ENSG00000187741.15	971	999	1217	934	948	863	FANCA	chr16	protein_coding	FA complementation group A
ENSG00000248367.1	28	25	33	81	78	54	CTB-129O4.1	chr5	lncRNA	--
ENSG00000270094.1	11	19	8	8	14	7	RP11-245P10.8	chr1	lncRNA	--
ENSG00000088992.18	1702	1670	2223	2062	2070	2036	TESC	chr12	protein_coding	tescalcin
ENSG00000203864.3	0	0	0	1	0	0	LINC02868	chr1	lncRNA	long intergenic non-protein coding RNA 2868
ENSG00000185238.13	989	1024	1272	988	1009	1074	PRMT3	chr11	protein_coding	protein arginine methyltransferase 3
ENSG00000204209.13	1277	1117	1400	1139	996	1098	DAXX	chr6	protein_coding	death domain associated protein
ENSG00000228217.1	0	0	1	0	1	1	PNRC2P1	chr1	processed_pseudogene	proline rich nuclear receptor coactivator 2 pseudogene 1
ENSG00000214265.11	11	10	12	15	18	22	RP11-701H24.9	chr15	protein_coding	--
ENSG00000254061.1	1	0	0	0	0	1	RP11-359B20.1	chr8	processed_pseudogene	--
ENSG00000173349.6	450	406	474	789	808	842	SFT2D3	chr2	protein_coding	SFT2 domain containing 3
ENSG00000050030.16	0	5	0	4	1	4	NEXMIF	chrX	protein_coding	neurite extension and migration factor
ENSG00000262312.2	2	0	0	1	1	3	LA16c-390H2.4	chr16	lncRNA	--
ENSG00000268500.6	0	0	0	1	0	0	SIGLEC5	chr19	protein_coding	sialic acid binding Ig like lectin 5
ENSG00000174876.17	0	0	0	1	0	0	AMY1B	chr1	protein_coding	amylase alpha 1B
ENSG00000177301.16	13	6	12	11	4	9	KCNA2	chr1	protein_coding	potassium voltage-gated channel subfamily A member 2
ENSG00000272948.2	1	4	7	11	6	11	AP001412.1	chr21	lncRNA	--
ENSG00000234318.1	0	0	0	1	0	0	RP4-771M4.3	chr1	lncRNA	--
ENSG00000081803.16	66	60	68	98	101	112	CADPS2	chr7	protein_coding	calcium dependent secretion activator 2
ENSG00000206228.4	1	1	3	1	2	0	HNRNPA1P4	chr8	processed_pseudogene	heterogeneous nuclear ribonucleoprotein A1 pseudogene 4
ENSG00000164187.7	143	136	175	254	263	282	LMBRD2	chr5	protein_coding	LMBR1 domain containing 2
ENSG00000184117.12	2838	2475	3198	1298	1001	1143	NIPSNAP1	chr22	protein_coding	nipsnap homolog 1
ENSG00000202111.1	0	0	1	1	0	0	VTRNA1-2	chr5	misc_RNA	vault RNA 1-2
ENSG00000144366.16	933	931	1112	1592	1783	1951	GULP1	chr2	protein_coding	GULP PTB domain containing engulfment adaptor 1
ENSG00000187492.9	3	3	3	6	2	5	CDHR4	chr3	protein_coding	cadherin related family member 4
ENSG00000077044.11	1774	1621	2242	3504	3549	3790	DGKD	chr2	protein_coding	diacylglycerol kinase delta
ENSG00000242599.7	0	1	0	0	3	1	CSAG4	chrX	transcribed_unprocessed_pseudogene	CSAG family member 4 (pseudogene)
ENSG00000283294.1	44	46	70	134	94	126	RP11-681B3.4	chr18	lncRNA	--
ENSG00000273171.1	343	194	338	635	550	455	CTB-96E2.2	chr17	protein_coding	--
ENSG00000258077.2	1	0	0	1	1	0	RP11-114H23.1	chr12	lncRNA	--
ENSG00000258378.1	10	4	3	3	6	4	RP11-517O13.1	chr14	lncRNA	--
ENSG00000233695.2	50	47	49	84	72	67	GAS6-AS1	chr13	lncRNA	GAS6 antisense RNA 1
ENSG00000124092.13	0	0	1	0	0	3	CTCFL	chr20	protein_coding	CCCTC-binding factor like
ENSG00000119900.9	506	459	582	766	790	865	OGFRL1	chr6	protein_coding	opioid growth factor receptor like 1
ENSG00000080839.12	441	446	578	471	376	432	RBL1	chr20	protein_coding	RB transcriptional corepressor like 1
ENSG00000177600.9	32838	27887	37570	32314	29172	28221	RPLP2	chr11	protein_coding	ribosomal protein lateral stalk subunit P2
ENSG00000203760.9	651	590	832	503	462	462	CENPW	chr6	protein_coding	centromere protein W
ENSG00000226015.2	4	10	10	34	27	20	CCT8P1	chr1	processed_pseudogene	chaperonin containing TCP1 subunit 8 pseudogene 1
ENSG00000119929.13	1351	1328	1666	895	873	917	CUTC	chr10	protein_coding	cutC copper transporter
ENSG00000104953.20	89	64	113	183	143	154	TLE6	chr19	protein_coding	TLE family member 6, subcortical maternal complex member
ENSG00000130487.9	0	0	1	2	1	1	KLHDC7B	chr22	protein_coding	kelch domain containing 7B
ENSG00000249684.6	20	10	17	18	15	20	RP11-423H2.3	chr5	lncRNA	--
ENSG00000160783.19	845	654	1003	706	612	594	PMF1	chr1	protein_coding	polyamine modulated factor 1
ENSG00000213693.4	18	13	13	21	13	23	SEC14L1P1	chr11	processed_pseudogene	SEC14 like 1 pseudogene 1
ENSG00000054793.14	764	658	877	1687	1682	1796	ATP9A	chr20	protein_coding	ATPase phospholipid transporting 9A (putative)
ENSG00000166164.16	1611	1468	1883	2297	2252	2314	BRD7	chr16	protein_coding	bromodomain containing 7
ENSG00000101333.18	229	202	227	699	691	703	PLCB4	chr20	protein_coding	phospholipase C beta 4
ENSG00000262837.1	0	0	1	0	0	0	RP11-304F15.7	chr17	lncRNA	--
ENSG00000137075.18	504	479	554	722	728	748	RNF38	chr9	protein_coding	ring finger protein 38
ENSG00000163507.14	573	525	659	491	403	462	CIP2A	chr3	protein_coding	cellular inhibitor of PP2A
ENSG00000185885.17	6	6	13	26	17	21	IFITM1	chr11	protein_coding	interferon induced transmembrane protein 1
ENSG00000152402.11	10	5	26	42	42	34	GUCY1A2	chr11	protein_coding	guanylate cyclase 1 soluble subunit alpha 2
ENSG00000255639.3	0	0	1	0	1	0	RP11-234B24.6	chr12	protein_coding	--
ENSG00000188460.4	0	1	0	0	1	0	ACTBP11	chr1	processed_pseudogene	ACTB pseudogene 11
ENSG00000261150.3	0	0	5	6	2	3	EPPK1	chr8	protein_coding	epiplakin 1
ENSG00000243927.6	1054	869	1240	1104	978	960	MRPS6	chr21	protein_coding	mitochondrial ribosomal protein S6
ENSG00000139410.15	394	346	501	410	401	433	SDSL	chr12	protein_coding	serine dehydratase like
ENSG00000127743.6	0	0	0	1	0	1	IL17B	chr5	protein_coding	interleukin 17B
ENSG00000101951.17	0	0	0	0	1	2	PAGE4	chrX	protein_coding	PAGE family member 4
ENSG00000174460.4	2	0	2	2	0	3	ZCCHC12	chrX	protein_coding	zinc finger CCHC-type containing 12
ENSG00000249087.7	18	11	31	47	46	45	ZNF436-AS1	chr1	lncRNA	ZNF436 antisense RNA 1
ENSG00000269984.1	7	13	15	8	14	8	RP11-362K14.5	chr3	lncRNA	--
ENSG00000278794.1	0	0	0	0	0	2	Metazoa_SRP	chr17	misc_RNA	--
ENSG00000141194.7	5	6	2	5	6	5	OR4D1	chr17	protein_coding	olfactory receptor family 4 subfamily D member 1
ENSG00000197275.14	506	461	608	489	484	533	RAD54B	chr8	protein_coding	RAD54 homolog B
ENSG00000112769.20	111	81	113	285	259	298	LAMA4	chr6	protein_coding	laminin subunit alpha 4
ENSG00000181433.10	43	46	93	155	121	132	SAGE1	chrX	protein_coding	sarcoma antigen 1
ENSG00000077063.11	56	45	58	91	88	91	CTTNBP2	chr7	protein_coding	cortactin binding protein 2
ENSG00000283415.2	3	6	4	1	1	4	RP11-413N10.3	chr11	lncRNA	--
ENSG00000124216.4	106	55	102	84	90	96	SNAI1	chr20	protein_coding	snail family transcriptional repressor 1
ENSG00000235036.4	2	0	0	1	0	0	RP5-1099D15.1	chr20	processed_pseudogene	--
ENSG00000169228.14	822	717	986	1432	1406	1353	RAB24	chr5	protein_coding	RAB24, member RAS oncogene family
ENSG00000140993.11	49	31	55	127	127	124	TIGD7	chr16	protein_coding	tigger transposable element derived 7
ENSG00000164163.11	2971	2989	3671	1460	1421	1579	ABCE1	chr4	protein_coding	ATP binding cassette subfamily E member 1
ENSG00000281189.1	2	4	4	6	17	18	GHET1	chr7	lncRNA	gastric carcinoma proliferation enhancing transcript 1
ENSG00000234818.1	40	24	28	34	34	38	AC092687.5	chr2	lncRNA	--
ENSG00000140367.12	1166	1096	1440	1979	1981	2028	UBE2Q2	chr15	protein_coding	ubiquitin conjugating enzyme E2 Q2
ENSG00000264558.1	144	128	148	75	120	121	RP11-138C9.1	chr17	lncRNA	--
ENSG00000079335.20	38	37	66	61	60	83	CDC14A	chr1	protein_coding	cell division cycle 14A
ENSG00000188365.3	0	1	0	0	0	0	AC092171.2	chr7	lncRNA	--
ENSG00000119820.11	1508	1350	1746	1776	1765	1857	YIPF4	chr2	protein_coding	Yip1 domain family member 4
ENSG00000086712.13	861	828	935	807	762	864	TXLNG	chrX	protein_coding	taxilin gamma
ENSG00000171858.18	15604	13287	18274	13356	12248	11501	RPS21	chr20	protein_coding	ribosomal protein S21
ENSG00000206418.5	829	796	1012	1003	968	1052	RAB12	chr18	protein_coding	RAB12, member RAS oncogene family
ENSG00000243302.3	13	21	14	81	64	80	RP11-274B21.2	chr7	processed_pseudogene	--
ENSG00000168329.14	16	1	1	1	5	18	CX3CR1	chr3	protein_coding	C-X3-C motif chemokine receptor 1
ENSG00000172828.13	98	67	155	248	211	218	CES3	chr16	protein_coding	carboxylesterase 3
ENSG00000152193.8	185	163	200	308	304	317	OBI1	chr13	protein_coding	ORC ubiquitin ligase 1
ENSG00000214274.10	450	330	501	1128	1032	1064	ANG	chr14	protein_coding	angiogenin
ENSG00000206869.1	0	0	1	0	0	0	SNORA70F	chr2	snoRNA	small nucleolar RNA, H/ACA box 70F
ENSG00000226045.1	0	0	1	0	0	0	AC009274.6	chr7	processed_pseudogene	--
ENSG00000079393.21	26	13	29	13	22	20	DUSP13	chr10	protein_coding	dual specificity phosphatase 13
ENSG00000187626.9	94	84	117	112	129	144	ZKSCAN4	chr6	protein_coding	zinc finger with KRAB and SCAN domains 4
ENSG00000185753.13	542	464	605	419	458	396	CXorf38	chrX	protein_coding	chromosome X open reading frame 38
ENSG00000233671.1	0	2	2	2	0	0	CENPNP1	chr2	processed_pseudogene	CENPN pseudogene 1
ENSG00000285694.1	0	1	0	1	0	0	RP11-274H24.3	chr6	lncRNA	--
ENSG00000262406.3	0	1	0	0	0	0	MMP12	chr11	protein_coding	matrix metallopeptidase 12
ENSG00000271933.1	5	6	6	4	2	3	RP11-338I21.1	chr10	lncRNA	--
ENSG00000224172.1	2	0	0	0	0	0	RP11-416N13.1	chr7	processed_pseudogene	--
ENSG00000286221.1	458	453	549	457	420	423	RP11-314O13.2	chr16	protein_coding	--
ENSG00000181227.3	1	0	4	0	1	7	DLSTP1	chr1	processed_pseudogene	dihydrolipoamide S-succinyltransferase pseudogene 1
ENSG00000197157.11	6852	6096	8102	8827	8445	8608	SND1	chr7	protein_coding	staphylococcal nuclease and tudor domain containing 1
ENSG00000204644.10	1	0	5	7	4	4	ZFP57	chr6	protein_coding	ZFP57 zinc finger protein
ENSG00000022277.13	2990	2614	3550	2326	2158	2257	RTF2	chr20	protein_coding	replication termination factor 2
ENSG00000232472.1	111	86	119	65	88	79	EEF1B2P3	chrX	processed_pseudogene	eukaryotic translation elongation factor 1 beta 2 pseudogene 3
ENSG00000235090.1	0	1	2	0	0	3	RPL7L1P3	chr7	processed_pseudogene	ribosomal protein L7 like 1 pseudogene 3
ENSG00000101220.18	3957	3653	4641	2377	2273	2088	C20orf27	chr20	protein_coding	chromosome 20 open reading frame 27
ENSG00000237169.1	0	0	0	1	0	0	RPL12P27	chr10	processed_pseudogene	ribosomal protein L12 pseudogene 27
ENSG00000283071.1	0	8	3	6	2	11	LBHD2	chr14	protein_coding	LBH domain containing 2
ENSG00000086475.15	2332	2195	2968	2952	2877	3053	SEPHS1	chr10	protein_coding	selenophosphate synthetase 1
ENSG00000070404.10	5079	4678	5868	3419	2854	2807	FSTL3	chr19	protein_coding	follistatin like 3
ENSG00000072274.13	6360	5894	7127	7144	6935	7139	TFRC	chr3	protein_coding	transferrin receptor
ENSG00000169251.13	1063	1106	1371	1086	1069	1108	NMD3	chr3	protein_coding	NMD3 ribosome export adaptor
ENSG00000273381.1	1	0	3	6	1	5	RP11-305L7.7	chr9	lncRNA	--
ENSG00000015676.18	953	847	1201	2083	1963	1958	NUDCD3	chr7	protein_coding	NudC domain containing 3
ENSG00000253100.2	0	1	0	0	0	0	RP11-219J21.1	chr8	lncRNA	--
ENSG00000124370.11	143	144	203	268	258	247	MCEE	chr2	protein_coding	methylmalonyl-CoA epimerase
ENSG00000267530.3	311	242	349	478	436	462	LINC01836	chr19	lncRNA	long intergenic non-protein coding RNA 1836
ENSG00000065989.16	106	76	107	65	55	86	PDE4A	chr19	protein_coding	phosphodiesterase 4A
ENSG00000249026.2	5	0	0	1	2	0	CTNNA1P1	chr5	processed_pseudogene	catenin alpha 1 pseudogene 1
ENSG00000111843.14	4880	4644	5806	3699	3558	3429	TMEM14C	chr6	protein_coding	transmembrane protein 14C
ENSG00000019186.10	7741	6579	9151	17550	17245	19016	CYP24A1	chr20	protein_coding	cytochrome P450 family 24 subfamily A member 1
ENSG00000184611.12	0	2	0	0	3	1	KCNH7	chr2	protein_coding	potassium voltage-gated channel subfamily H member 7
ENSG00000180509.13	0	0	0	1	0	0	KCNE1	chr21	protein_coding	potassium voltage-gated channel subfamily E regulatory subunit 1
ENSG00000284791.2	0	1	0	0	0	0	SMIM41	chr12	protein_coding	small integral membrane protein 41
ENSG00000238250.1	0	1	2	4	5	3	ST6GAL2-IT1	chr2	lncRNA	ST6GAL2 intronic transcript 1
ENSG00000125505.17	3413	3159	3994	4286	3958	3942	MBOAT7	chr19	protein_coding	membrane bound O-acyltransferase domain containing 7
ENSG00000230698.1	0	2	0	0	0	0	CTD-2330K9.2	chr3	lncRNA	--
ENSG00000125124.14	189	215	241	286	330	421	BBS2	chr16	protein_coding	Bardet-Biedl syndrome 2
ENSG00000172650.15	47	40	76	124	115	114	AGAP5	chr10	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
ENSG00000163050.18	1	2	1	3	1	4	COQ8A	chr1	protein_coding	coenzyme Q8A
ENSG00000174529.7	78	88	113	64	50	39	TMEM81	chr1	protein_coding	transmembrane protein 81
ENSG00000281100.1	6	0	1	3	0	1	RP11-640L9.2	chr3	TEC	--
ENSG00000158825.6	1045	787	1162	1011	837	854	CDA	chr1	protein_coding	cytidine deaminase
ENSG00000241746.1	0	0	0	0	0	1	RP11-941H19.1	chr8	processed_pseudogene	--
ENSG00000178031.18	2	0	0	0	1	0	ADAMTSL1	chr9	protein_coding	ADAMTS like 1
ENSG00000229258.6	0	0	0	0	1	0	LPGAT1-AS1	chr1	lncRNA	LPGAT1 antisense RNA 1
ENSG00000163344.6	1021	920	1198	1480	1280	1328	PMVK	chr1	protein_coding	phosphomevalonate kinase
ENSG00000175920.18	26	24	36	51	47	36	DOK7	chr4	protein_coding	docking protein 7
ENSG00000119669.5	560	513	717	855	924	969	IRF2BPL	chr14	protein_coding	interferon regulatory factor 2 binding protein like
ENSG00000131061.14	185	165	186	208	218	222	ZNF341	chr20	protein_coding	zinc finger protein 341
ENSG00000228596.1	0	0	0	0	2	0	AC013436.5	chr7	lncRNA	--
ENSG00000269800.1	0	0	0	2	0	1	PLEKHA3P1	chr19	processed_pseudogene	pleckstrin homology domain containing A3 pseudogene 1
ENSG00000269921.1	2	0	3	3	0	3	RP11-646I6.5	chr4	lncRNA	--
ENSG00000127507.18	20	22	22	8	6	8	ADGRE2	chr19	protein_coding	adhesion G protein-coupled receptor E2
ENSG00000168003.18	27196	23555	31502	25674	24430	24168	SLC3A2	chr11	protein_coding	solute carrier family 3 member 2
ENSG00000168564.6	335	335	406	378	415	458	CDKN2AIP	chr4	protein_coding	CDKN2A interacting protein
ENSG00000277258.5	1909	1709	2179	2504	2336	2337	PCGF2	chr17	protein_coding	polycomb group ring finger 2
ENSG00000157654.19	484	471	581	378	342	393	PALM2AKAP2	chr9	protein_coding	PALM2 and AKAP2 fusion
ENSG00000275989.2	1	0	0	0	0	0	RP11-365P13.6	chr13	transcribed_unprocessed_pseudogene	--
ENSG00000267546.2	7	7	4	19	13	24	RP11-666A8.8	chr17	lncRNA	--
ENSG00000250786.2	0	0	0	0	0	1	SNHG18	chr5	lncRNA	small nucleolar RNA host gene 18
ENSG00000272523.1	27	21	24	30	30	30	LINC01023	chr5	lncRNA	long intergenic non-protein coding RNA 1023
ENSG00000105287.13	1251	1072	1530	1047	1033	995	PRKD2	chr19	protein_coding	protein kinase D2
ENSG00000227598.1	0	2	1	1	0	1	RP1-167A14.2	chr6	lncRNA	--
ENSG00000111906.18	2739	2399	3476	3202	3078	3037	HDDC2	chr6	protein_coding	HD domain containing 2
ENSG00000157992.12	3	7	8	26	21	21	KRTCAP3	chr2	protein_coding	keratinocyte associated protein 3
ENSG00000248489.2	6	6	15	8	6	7	LINC02062	chr5	lncRNA	--
ENSG00000131558.15	1134	1001	1216	1453	1504	1507	EXOC4	chr7	protein_coding	exocyst complex component 4
ENSG00000279136.1	0	0	0	1	0	0	LA16c-335H7.2	chr16	TEC	--
ENSG00000244119.1	0	0	1	32	31	22	PDCL3P4	chr3	processed_pseudogene	PDCL3 pseudogene 4
ENSG00000162739.14	1	2	0	0	0	0	SLAMF6	chr1	protein_coding	SLAM family member 6
ENSG00000132612.16	1419	1292	1688	1499	1335	1311	VPS4A	chr16	protein_coding	vacuolar protein sorting 4 homolog A
ENSG00000214855.9	5	5	7	6	4	6	APOC1P1	chr19	transcribed_unprocessed_pseudogene	apolipoprotein C1 pseudogene 1
ENSG00000198888.2	165691	161606	227233	317894	294817	284862	MT-ND1	chrM	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
ENSG00000287029.1	0	1	1	0	1	0	RP11-168P13.3	chr13	lncRNA	--
ENSG00000286977.1	6	7	19	88	63	64	RP3-453A3.2	chrX	lncRNA	--
ENSG00000187210.14	33	35	40	60	47	40	GCNT1	chr9	protein_coding	glucosaminyl (N-acetyl) transferase 1
ENSG00000253339.2	3	5	2	11	12	10	RP11-434I12.3	chr8	lncRNA	--
ENSG00000243547.1	4	3	13	1	9	5	HNRNPKP4	chr3	processed_pseudogene	heterogeneous nuclear ribonucleoprotein K pseudogene 4
ENSG00000275481.1	3	3	3	3	4	12	RP11-474P2.6	chr12	lncRNA	--
ENSG00000132600.17	958	839	1114	771	779	782	PRMT7	chr16	protein_coding	protein arginine methyltransferase 7
ENSG00000265417.1	0	0	3	1	2	5	RP11-288C17.1	chr18	processed_pseudogene	--
ENSG00000199804.1	0	2	0	1	4	2	RNA5SP383	chr14	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 383
ENSG00000273891.1	11	8	13	10	15	23	RP11-500G22.5	chr10	lncRNA	--
ENSG00000108064.11	2060	1966	2641	1385	1347	1477	TFAM	chr10	protein_coding	transcription factor A, mitochondrial
ENSG00000256671.6	0	0	0	0	1	0	LIMS4	chr2	protein_coding	LIM zinc finger domain containing 4
ENSG00000278224.7	0	0	1	0	1	0	PRICKLE4	chr6	protein_coding	prickle planar cell polarity protein 4
ENSG00000170471.15	958	810	1196	1254	1179	1310	RALGAPB	chr20	protein_coding	Ral GTPase activating protein non-catalytic subunit beta
ENSG00000142544.7	541	505	637	550	493	486	CTU1	chr19	protein_coding	cytosolic thiouridylase subunit 1
ENSG00000227201.2	0	0	0	0	0	1	CNN2P1	chr22	processed_pseudogene	calponin 2 pseudogene 1
ENSG00000138175.9	1185	1061	1577	1328	1177	1316	ARL3	chr10	protein_coding	ADP ribosylation factor like GTPase 3
ENSG00000252367.1	2	5	3	1	2	0	Y_RNA	chr20	misc_RNA	--
ENSG00000125813.14	0	0	0	0	0	1	PAX1	chr20	protein_coding	paired box 1
ENSG00000257557.2	13	21	31	54	36	65	PPP1R12A-AS1	chr12	lncRNA	PPP1R12A antisense RNA 1
ENSG00000133433.11	0	0	2	1	0	0	GSTT2B	chr22	protein_coding	glutathione S-transferase theta 2B
ENSG00000259378.1	4	1	2	0	1	1	DCAF13P3	chr15	processed_pseudogene	DDB1 and CUL4 associated factor 13 pseudogene 3
ENSG00000171497.5	1309	1214	1561	1044	1016	1018	PPID	chr4	protein_coding	peptidylprolyl isomerase D
ENSG00000139537.11	8	5	2	15	20	13	CCDC65	chr12	protein_coding	coiled-coil domain containing 65
ENSG00000224660.2	68	98	87	268	278	235	SH3BP5-AS1	chr3	lncRNA	SH3BP5 antisense RNA 1
